murcko_scaffold,n_compounds,observed_mean,observed_median,observed_std,predicted_mean,predicted_median,prediction_error,absolute_error
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,6,0.8605294516666667,0.862559585,0.0351613001694479,0.8295282949999999,0.8275504,-0.0310011566666668,0.0310011566666668
C1=CC2CCC3Nc4ccc(C5CC6CCCN(CCc7c5[nH]c5ccccc75)C6)cc4C34CCN(C1)C24,3,0.8670865766666666,0.89443463,0.0573028933149507,0.8444518666666667,0.8329443,-0.0226347099999998,0.0226347099999998
O=C(CCc1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,3,0.91137385,0.9158393,0.0334109363594841,0.8912814333333333,0.8802825,-0.0200924166666667,0.0200924166666667
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3OC1CCCCO1,7,0.9673130142857144,0.9721764,0.0250389908553092,0.94834002,0.9563592,-0.0189729942857144,0.0189729942857144
O=C1C=CC2C(=O)C3=Cc4ccccc4CC3CC2C1,3,0.8830042533333334,0.90251946,0.0749531126141838,0.8652840300000001,0.8476006,-0.0177202233333333,0.0177202233333333
c1ccc(Nc2ncnc3ccccc23)cc1,3,0.8224725733333335,0.81559074,0.03417227881812,0.8123638999999999,0.8057674,-0.0101086733333335,0.0101086733333335
C1CC2CCOC3OC4CCC(C1)C23OO4,3,0.8598092133333334,0.87492764,0.0374801581622401,0.85074235,0.85152435,-0.0090668633333333,0.0090668633333333
O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,3,0.85425408,0.8747673,0.0672144917858135,0.8475889766666667,0.84003496,-0.0066651033333333,0.0066651033333333
O=C1CCC=CCC(=O)CC(CCC2CCCCC2)OC(=O)C2CCCCN2C(=O)C(=O)C2CCCC(CCC=CC=CC=CCCC1)O2,3,0.8943371066666667,0.90203506,0.0193643789298425,0.8923890366666667,0.88977706,-0.0019480699999999,0.0019480699999999
O=c1ccn(C2CCCO2)c(=O)[nH]1,4,0.835001825,0.845798485,0.107508531022788,0.8337968,0.8318746,-0.0012050249999999,0.0012050249999999
c1ccccc1,32,0.791077304375,0.7980487199999999,0.0919460531394965,0.792064706875,0.786284745,0.0009874024999999,0.0009874024999999
c1ncc2ncn(C3CCCO3)c2n1,5,0.809487032,0.8292305,0.0848801925596079,0.8164466779999999,0.8133995,0.0069596459999998,0.0069596459999998
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,14,0.8458407757142857,0.8273241650000001,0.0607007044873766,0.8552041807142857,0.8557746150000001,0.0093634049999999,0.0093634049999999
C=C1CCCCC1=CC=C1CCCC2CCCC12,5,0.8192908899999999,0.8198536,0.0349600368691596,0.8344367180000001,0.83200836,0.0151458280000001,0.0151458280000001
O=C(NCCc1ccccc1)C(Nc1ccccc1)c1cccs1,3,0.7775234866666666,0.7822677,0.1138958098796286,0.8112985533333333,0.8262413,0.0337750666666667,0.0337750666666667
